title,address,website,phone,profiles
IIMT Hospital,"Bypass Road, Ganesh Nagar, Lawyer's Colony, Agra, Uttar Pradesh 282005",http://www.iimthospital.com/,099278 18000,
Welfare Hospital,"HIG – 906 & 907 D – Block Kalindi Vihar Agra,Near Nari Niketan, Kalindi Vihar, 100 Feet Rd, Ram Bagh, Agra, Uttar Pradesh 282006",#,092195 13621,
Blossoms superspecialities Best IVF (testtubebaby)/gynaecologist/superspeciality hospital in agra,"2, Khandari Quarters, Master Plan Rd, Agra, Uttar Pradesh 282002",,,
Lady Lyall Hospital,"Shahid Bhagatsingh Rd, Rajamandi Crossing, Bagh Muzaffar Khan, Mantola, Agra, Uttar Pradesh 282002",#,0562 226 7987,
Shri Paras Hospital- Best Hospital in Agra,"Omaxe SRK Mall, 3/22, E, Mathura Colony, Bypass Rd, Agra, Uttar Pradesh 282005",,,
Vijay Nagar Multi Speciality Hospital,"45, Motilal Nehru Rd, Old Vijayanagar Colony, Vijayanagar Colony, Civil Lines, Agra, Uttar Pradesh 282004",#,0562 252 9388,
Arun hospital,"31/119/10-A, Agra Shamshabad Raja Kherah Marg, Jangjeet Nagar, rajpur, Agra, Uttar Pradesh 282001",http://arunhospitalagra.com/,091197 55334,
Help Agra Hospital,"52P5+G5G, Patel Nagar, Moti Katra, Mantola, Agra, Uttar Pradesh 282003",http://www.helpagra.org/,070550 14091,
Agra lifecare hospital,"C41, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282004",#,093585 10116,
Asopa Hospital & Research Centre,"Gailana Road, Off, Bypass, Agra, Uttar Pradesh 282007",http://www.asopahospital.in/,0562 260 3190,<br/>https://in.linkedin.com/in/monika-arora-1b55852a
Ravi Hospital - Best Multi-Superspeciality Hospital in Agra,"1, Bridge, 55, Delhi Gate Rd, near Madiya Katra, near Hari Parwat, Hariparwat, Professors Colony, Crossing, Agra, Uttar Pradesh 282002",http://ravihospital.org/,099170 01200,
Amarnath Hospital,"F-3, Firozabad Rd, Opposite Trans Yamuna Lakshmi, Phase-2, Rambagh, Trans Yamuna Colony, Agra, Uttar Pradesh 282006",,,
"District Women Hospital, Agra","52Q3+CCR, Near, Hing Ki Mandi Rd, Mantola, Agra, Uttar Pradesh 282002",,,
Cosmos Hospital Agra uttar pradesh,"Sewala Jat, Panchkuian, Rakabganj, Agra, Uttar Pradesh 282001",,,
Shanti Hospital,"No. 102 Kendriya Hindi Sansthan Road Dayal Bagh, Rajeev Nagar, Agra, Uttar Pradesh 282005",#,081716 41400,
Ojas Hospital,"E-8, Pani Ki Tanki Rd, near Petrol Pump, Professors Colony, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282005",#,0562 258 1750,
Balkeshwar Hospital Agra,"625J+C3V, Balkeshwar Rd, Rajwara, Kamla Nagar, Agra, Uttar Pradesh 282004",,,
Genesis Hospital,"27, Pushpanjali Enclave New, Khatehna Rd, Pratap Nagar, Hanuman Nagar, Lohamandi, Agra, Uttar Pradesh 282010",https://website-275171404346693196622-hospital.business.site/?utm_source=gmb&utm_medium=referral,088812 37772,
A. S. Hospital,"1-27/136, Panchkuiyan Rd, near New Mathur Vaishya Seva Sadan, Ashok Nagar, Shahganj, Agra, Uttar Pradesh 282002",#,098378 19361,
Japnam Kratkar Hospital,"151 Sikandra Bodla Road, Railway Crossing, Sector 16, Sikandra, Agra, Uttar Pradesh 282007",#,098370 25993,
Moolchand Medcity,"Agra-Mathura Road, NH 2, Artoni Rd, Agra, Uttar Pradesh 282007",http://www.moolchandhealthcare.com/,0562 306 6666,
Divisional Railway Hospital Agra,"5X6V+6GG, Mall Rd, Sultanpura, Agra Cantt, Idgah Colony, Agra, Uttar Pradesh 282001","http://www.ncr.indianrailways.gov.in/view_section.jsp?lang=0&id=0,1,396,402,555",098897 37898,
Nayati Hospital - Trauma & Acute Care Centre,"Agra Mathura Highway, NH 19, near Sikandra, Agra, Uttar Pradesh 282007",#,070555 62562,<br/>https://www.facebook.com/NayatiAgra/
Mangal Hospital,"125, M.K. Puram, Shastri Puram Rd, Sikandra, Agra, Uttar Pradesh 282007",,,
J. P. Hospital,"D-27, NH2, Trans Yamuna Colony, Agra, Uttar Pradesh 282006",#,099170 11106,
Hospital,"5X9M+6HQ, Ayodhya Kunj-A, Dashrath Kunj - B, Dargo Ka Nagla, Arjun Nagar, Agra, Uttar Pradesh 282001",,,
SP Hospital Agra,"44, Hanuman Nagar, near Maruti State, Bodla, Agra, Uttar Pradesh 282010",https://sphospital.business.site/,,
Hospital,"6288+CH9, Kaveri Kunj, Kamla Nagar, Agra, Uttar Pradesh 282005",,,
Prabha hospital and Trauma Center,"Nh-2 , geeta Mandir , mathura bypass, road, Sikandra, Agra, Uttar Pradesh 282007",https://prabha-home-healthcare.business.site/,090125 16000,
Ayushman Hospital & Research Center,"Sheetla Rd, Khandari Bypass, Chauraha, Khandar, Agra, Uttar Pradesh 282005",#,0562 253 0749,
Sparsh Malhotra Hospital,"5, Master Plan Rd, Nasirabad Colony, Khandari, Agra, Uttar Pradesh 282002",#,088999 20009,<br/>https://in.linkedin.com/in/shankar-kateja-b9478018b?trk=people_directory
Fatima Hospital,"fatima hospital, 32, Mahatma Gandhi Rd, Pratap Pura, Agra, Uttar Pradesh 282001",,,
A-1 Hospital,"6257+99H, Bypass Rd, Near Sultanganj crossing, Sultan Ganj, Gandhi Nagar, Civil Lines, Agra, Uttar Pradesh 282004",#,0562 406 3636,
Jeevan Jyoti Hospital and Research Centre Private Limited,"Bodla Rd, Amba Prasad Rd, Sector 1, Bodla, Lohamandi, Agra, Uttar Pradesh 282002",,,
R.L.D HOSPITAL AGRA,"G-80, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282004",,,
SN Medical College & Hospital,"52Q2+7HG, Mahatma Gandhi Rd, Raja Mandi, Raja ki Mandi, Mantola, Agra, Uttar Pradesh 282002",http://www.snmcagra.ac.in/,0562 226 0353,
Shri Paras Hospital- Multispeciality Hospital In Agra,"3/22, E, Mathura Colony, Omex Mall, Valdev Nagar, Trans Yamuna Colony, Agra, Uttar Pradesh 282006",#,070880 03805,
Get Well Hospital - General Surgery in Agra | Orthopedic Hospital in Agra | Best Gynae Hospital in Agra,"Shop No, 33, Pandit Radharaman Satyavichitra Rd, near रेलवे फाटक, Laxmi Nagar, Sikandra, Agra, Uttar Pradesh 282007",#,098370 25993,
Kamla devi hospital deori road agra,"42F9+6HM, Park, Unnamed Road, Taal Semri - Devri Rd, Taal Semri, Saimari, Agra, Uttar Pradesh 282001",#,089092 45928,
Sarkar Nursing Home and Uma International Ivf Hospital,"1, Delhi Gate Rd, Professors Colony, Civil Lines, Agra, Uttar Pradesh 282002",#,079832 02082,
SAPPHIRE HOSPITAL-Heart Specialist in Agra/ Heart Doctor in Agra/ Best Cardiologist in Agra,"186-A, 186-A, Ajmer Rd, Pratap Pura, Rakabganj, Agra, Uttar Pradesh 282001",#,080061 39990,<br/>https://www.facebook.com/SapphireHospital/
Shree Ram Hospital,"Mahatma Gandhi Rd, Ramnagar Colony, Civil Lines, Agra, Uttar Pradesh 282002",,,
